year,commodity_type_en,commodity_type_fr,solicitation_code,contracts_count,original_value,amendment_value,department_en,department_fr
2019,Construction,Construction,TC,0,0,0,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2019,Service,Services,TN,15,582887.17,0,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2019,Good,Biens,TN,9,306444.26,63236.25,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2019,Construction,Construction,TN,0,0,0,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2019,Service,Services,AC,1,63236.25,0,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2019,Good,Biens,AC,0,0,0,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2019,Construction,Construction,AC,0,0,0,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2020,Service,Services,TC,14,777177.78,29075.8,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2020,Good,Biens,TC,13,1025647.60,0,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2020,Construction,Construction,TC,0,0,0,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2020,Service,Services,OB,2,407011.51,68985,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2020,Good,Biens,OB,0,0,0,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2020,Construction,Construction,OB,0,0,0,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2020,Service,Services,TN,18,580463.77,11496.35,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2020,Good,Biens,TN,4,266846.74,0,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2020,Construction,Construction,TN,0,0,0,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2018,Service,Services,TC,10,561857.96,129346.88,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2018,Good,Biens,TC,12,293570.88,0,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2018,Construction,Construction,TC,0,0,0,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2018,Service,Services,TN,13,312806.69,0,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2018,Good,Biens,TN,8,369548.11,0,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2018,Construction,Construction,TN,0,0,0,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2017,Service,Services,TC,20,517479.18,72115.40,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
